"","HostCode","Date","SiteCode","SpeciesCode","CollectionCode","Lifestage","Dissector","DissectionCondition","GosnerStage","TarichaLarvaeStage","SVL","TailLength","TotalLength","Malformed","Sex","collDate","visit","SecYr","tot.para","BDinf","aveZE","Alaria","Cephalogonimus","Echinostoma","Gorgoderid_Metacercaria","Gyrinicola_batrachiensis","Manodistomum_syntomentera","Megalobatrachonema_moraveci","Nematode","Oxyurid","Ribeiroia_ondatrae","Nyctotherus","Opalina","Tritrichomonas"
"46","PRPND009_20170327_TATO_008",20170327,"PRPND009","TATO","PRPND009_20170327","Larva","DC","Freshly Euthanized",NA,"",8.95,9.06,18.01,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","PRPND010_20170516_TATO_103",20170516,"PRPND010","TATO","PRPND010_20170516","Larva","TR","Dead on Arrival",NA,"4T",8.96,6.12,15.08,"N","Unknown","2017-05-16",2,NA,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"48","PRNTHIDK_20170513_PSRE_007",20170513,"PRNTHIDK","PSRE","PRNTHIDK_20170513","Larva","CM","Dead on Arrival",28,"",9.02,4.71,13.73,"N","Unknown","2017-05-13",2,NA,0,0,0.862312907,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","PRNTHIDK_20170513_PSRE_008",20170513,"PRNTHIDK","PSRE","PRNTHIDK_20170513","Larva","CM","Dead on Arrival",30,"",9.05,10.05,19.1,"N","Unknown","2017-05-13",2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","PRNTHIDK_20170629_PSRE_101",20170629,"PRNTHIDK","PSRE","PRNTHIDK_20170629","Larva","TR","Dead on Arrival",31,"",9.05,15.99,25.04,"N","Female","2017-06-29",4,NA,3,0,0,0,2,8,0,0,3,0,0,0,0,0,0,0
"51","PRPND014_20170327_PSRE_005",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",9.09,7.56,16.65,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","PRPND009_20170327_TATO_002",20170327,"PRPND009","TATO","PRPND009_20170327","Larva","DC","Freshly Euthanized",NA,"",9.1,8.46,17.56,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","PRPND010_20170327_PSRE_011",20170327,"PRPND010","PSRE","PRPND010_20170327","Larva","DC","Dead on Arrival",26,"",9.13,7.34,16.47,"N","Unknown","2017-03-27",1,NA,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"54","PRPND009_20170327_TATO_001",20170327,"PRPND009","TATO","PRPND009_20170327","Larva","DC","Freshly Euthanized",NA,"",9.15,5.4,14.55,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","PRPND015_20170328_TATO_009",20170328,"PRPND015","TATO","PRPND015_20170328","Larva","DC","Freshly Euthanized",NA,"",9.15,7.12,16.27,"N","Unknown","2017-03-28",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","PRNTHMIT_20170607_PSRE_100",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Freshly Euthanized",29,"",9.16,13.59,22.75,"N","Unknown","2017-06-07",3,NA,2,0,0.00329288,0,0,2,0,0,0,0,0,0,0,0,0,1
"57","PRNTHMIT_20170607_PSRE_104",20170607,"PRNTHMIT","PSRE","PRNTHMIT_20170607","Larva","CM","Freshly Euthanized",26,"",9.2,6.21,15.41,"N","Unknown","2017-06-07",3,NA,1,0,0.013923067,0,0,0,0,0,0,0,0,0,0,0,0,1
"58","PRPND015_20170328_PSRE_006",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",9.33,12.41,21.74,"N","Unknown","2017-03-28",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"59","PRPND010_20170327_PSRE_006",20170327,"PRPND010","PSRE","PRPND010_20170327","Larva","DC","Dead on Arrival",27,"",9.34,14.22,23.56,"N","Unknown","2017-03-27",1,NA,2,0,0,0,0,0,0,2,0,0,0,0,75,0,0,0
"60","PRNTH1_20170516_PSRE_208",20170516,"PRNTH1","PSRE","PRNTH1_20170516","Larva","DC","Dead on Arrival",27,"",9.36,15.45,24.81,"N","Unknown","2017-05-16",2,NA,0,1,2.037590427,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","PRPND014_20170327_PSRE_106",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",9.41,10.99,20.4,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"62","PRNTHIDK_20170629_PSRE_108",20170629,"PRNTHIDK","PSRE","PRNTHIDK_20170629","Larva","TR","Dead on Arrival",34,"",9.43,21.97,31.4,"N","Female","2017-06-29",4,NA,2,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0
"63","PRPND010_20170327_PSRE_005",20170327,"PRPND010","PSRE","PRPND010_20170327","Larva","DC","Dead on Arrival",27,"",9.44,13.36,22.8,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"64","PRPND015_20170328_PSRE_010",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",26,"",9.47,14.31,23.78,"N","Unknown","2017-03-28",1,NA,3,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0
"65","PRPND009_20170327_TATO_007",20170327,"PRPND009","TATO","PRPND009_20170327","Larva","DC","Freshly Euthanized",NA,"",9.48,8.16,17.64,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","PRNTHIDK_20170719_PSRE_102",20170719,"PRNTHIDK","PSRE","PRNTHIDK_20170719","Larva","TR","Dead on Arrival",30,"",9.53,7.68,17.21,"N","Unknown","2017-07-19",5,NA,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
"67","PRPND014_20170327_PSRE_108",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",9.61,7.87,17.48,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","PRPND009_20170327_TATO_004",20170327,"PRPND009","TATO","PRPND009_20170327","Larva","DC","Freshly Euthanized",NA,"",9.74,8.46,18.2,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","PRPND010_20170516_TATO_102",20170516,"PRPND010","TATO","PRPND010_20170516","Larva","TR","Dead on Arrival",NA,"3T",9.75,5.52,15.27,"N","Unknown","2017-05-16",2,NA,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"70","PRPND015_20170606_TATO_110",20170606,"PRPND015","TATO","PRPND015_20170606","Larva","TR","Freshly Euthanized",NA,"5T",9.79,9.3,19.09,"N","Unknown","2017-06-06",3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","PRPND015_20170328_TATO_010",20170328,"PRPND015","TATO","PRPND015_20170328","Larva","DC","Freshly Euthanized",NA,"",9.82,5.15,14.97,"N","Unknown","2017-03-28",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","PRPND015_20170606_PSRE_107",20170606,"PRPND015","PSRE","PRPND015_20170606","Larva","CM","Freshly Euthanized",32,"",9.83,14.38,24.21,"N","Unknown","2017-06-06",3,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"73","PRPND015_20170328_TATO_001",20170328,"PRPND015","TATO","PRPND015_20170328","Larva","DC","Freshly Euthanized",NA,"",9.84,7.08,16.92,"N","Unknown","2017-03-28",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","PRPND014_20170327_PSRE_104",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",27,"",9.87,8.13,18,"N","Unknown","2017-03-27",1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"75","PRPND015_20170606_PSRE_108",20170606,"PRPND015","PSRE","PRPND015_20170606","Larva","CM","Freshly Euthanized",28,"",9.91,9.92,19.83,"N","Unknown","2017-06-06",3,NA,5,1,524.9782571,0,0,3,0,1,0,0,0,0,0,1,1,1
"76","PRNTH1_20170608_PSRE_103",20170608,"PRNTH1","PSRE","PRNTH1_20170608","Larva","CM","Freshly Euthanized",32,"",9.97,16.95,26.92,"N","Unknown","2017-06-08",3,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"77","PRNTH4_20170513_TATO_009",20170513,"PRNTH4","TATO","PRNTH4_20170513","Larva","TR","Freshly Euthanized",NA,"5T",10.07,7.02,17.09,"N","Unknown","2017-05-13",2,NA,1,1,6.203280293,0,0,0,0,0,0,1,0,0,0,0,0,0
"78","PRNTHIDK_20170513_TATO_009",20170513,"PRNTHIDK","TATO","PRNTHIDK_20170513","Larva","DC","Freshly Euthanized",NA,"2T",10.07,8.62,18.69,"N","Unknown","2017-05-13",2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","PRPND015_20170328_PSRE_001",20170328,"PRPND015","PSRE","PRPND015_20170328","Larva","DC","Freshly Euthanized",27,"",10.1,12.62,22.72,"N","Unknown","2017-03-28",1,NA,2,1,8.804079156,0,0,0,0,0,0,0,0,2,0,0,1,0
"80","PRPND014_20170327_PSRE_109",20170327,"PRPND014","PSRE","PRPND014_20170327","Larva","DC","Dead on Arrival",26,"",10.13,17.6,27.73,"N","Unknown","2017-03-27",1,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","PRPND009_20170327_TATO_006",20170327,"PRPND009","TATO","PRPND009_20170327","Larva","DC","Freshly Euthanized",NA,"",10.14,8.3,18.44,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","PRPND015_20170328_TATO_006",20170328,"PRPND015","TATO","PRPND015_20170328","Larva","DC","Freshly Euthanized",NA,"",10.17,7.24,17.41,"N","Unknown","2017-03-28",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","PRNTHMIT_20170513_TATO_010",20170513,"PRNTHMIT","TATO","PRNTHMIT_20170513","Larva","TR","Dead on Arrival",NA,"4T",10.19,8.65,18.84,"N","Unknown","2017-05-13",2,NA,1,0,0.68621848,0,0,0,0,0,0,2,0,0,0,0,0,0
"84","PRPND010_20170516_PSRE_104",20170516,"PRPND010","PSRE","PRPND010_20170516","Larva","CM","Dead on Arrival",32,"",10.21,12.27,22.48,"N","Unknown","2017-05-16",2,NA,5,1,169.3982832,0,0,21,0,4,0,0,0,0,11,1,1,0
"85","PRPND015_20170514_TATO_109",20170514,"PRPND015","TATO","PRPND015_20170514","Larva","TR","Dead on Arrival",NA,"5T",10.26,8.86,19.12,"N","Unknown","2017-05-14",2,NA,0,0,1.576371093,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","PRPND015_20170606_TATO_109",20170606,"PRPND015","TATO","PRPND015_20170606","Larva","TR","Freshly Euthanized",NA,"5T",10.26,6.15,16.41,"N","Unknown","2017-06-06",3,NA,1,1,145.7068886,0,0,0,0,0,0,0,0,0,6,0,0,0
"87","PRPND009_20170606_TATO_107",20170606,"PRPND009","TATO","PRPND009_20170606","Larva","TR","Freshly Euthanized",NA,"5T",10.28,11.87,22.15,"N","Unknown","2017-06-06",3,NA,1,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
"88","PRPND009_20170327_TATO_010",20170327,"PRPND009","TATO","PRPND009_20170327","Larva","DC","Freshly Euthanized",NA,"",10.3,6.9,17.2,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","PRPND009_20170516_PSRE_007",20170516,"PRPND009","PSRE","PRPND009_20170516","Larva","CM","Dead on Arrival",34,"",10.4,16.54,26.94,"N","Unknown","2017-05-16",2,NA,4,1,0.106392293,0,0,0,0,6,0,0,0,0,81,1,1,0
"90","TGIF_20170516_PSRE_109",20170516,"TGIF","PSRE","TGIF_20170516","Larva","TR","Dead on Arrival",26,"",10.42,12.31,22.73,"N","Female","2017-05-16",2,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"91","TGIF_20170628_PSRE_009",20170628,"TGIF","PSRE","TGIF_20170628","Metamorph","KL","Freshly Euthanized",47,"",10.44,10.84,21.28,"N","Unknown","2017-06-28",4,NA,5,0,0,0,0,1,0,1,37,0,0,0,0,1,1,0
"92","PRPND009_20170327_PSRE_003",20170327,"PRPND009","PSRE","PRPND009_20170327","Larva","DC","Dead on Arrival",26,"",10.45,0,10.45,"N","Unknown","2017-03-27",1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","PRPND009_20170327_PSRE_104",20170327,"PRPND009","PSRE","PRPND009_20170327","Larva","DC","Dead on Arrival",28,"",10.45,11.45,21.9,"N","Unknown","2017-03-27",1,NA,3,0,0,0,0,0,0,0,0,0,29,0,0,2,1,0
"94","PRNTHMIT_20170513_PSRE_109",20170513,"PRNTHMIT","PSRE","PRNTHMIT_20170513","Larva","AO","Dead on Arrival",32,"",10.47,15.22,25.69,"N","Female","2017-05-13",2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
